Survived,Pclass,Age,SibSp,Parch,Fare,female,male,C,Q,S
0.0,1,42.0,1,0,3.970291913552122,0,1,0,0,1
1.0,3,29.881137667304014,0,0,2.1076888046179385,0,1,1,0,0
0.0,3,21.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,18.0,2,0,2.9444389791664403,1,0,0,0,1
1.0,3,14.0,1,0,2.5048481563289,1,0,1,0,0
0.0,3,40.0,1,0,2.348991465808201,1,0,0,0,1
0.0,2,27.0,1,0,3.091042453358316,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,1,0,0
1.0,2,3.0,1,2,3.7513658711253766,1,0,1,0,0
1.0,3,19.0,0,0,2.1837114628556327,1,0,0,1,0
0.0,3,29.881137667304014,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,29.881137667304014,1,0,2.803360380906535,0,1,0,1,0
1.0,3,29.881137667304014,0,0,2.169053700369523,1,0,0,1,0
0.0,3,29.881137667304014,2,0,3.1214482048688246,0,1,1,0,0
0.0,3,18.0,1,0,2.9338568698359038,1,0,0,0,1
0.0,3,7.0,4,1,3.705920919968788,0,1,0,0,1
0.0,3,21.0,0,0,2.174751721484161,0,1,0,0,1
1.0,1,49.0,1,0,4.353230991152628,1,0,1,0,0
1.0,2,29.0,1,0,3.295836866004329,1,0,0,0,1
0.0,1,65.0,0,1,4.142804513146981,0,1,1,0,0
1.0,1,29.881137667304014,0,0,3.597312260588446,0,1,0,0,1
1.0,2,21.0,0,0,2.4423470353692043,1,0,0,0,1
0.0,3,28.5,0,0,2.1076888046179385,0,1,1,0,0
1.0,2,5.0,1,2,3.3586377672433594,1,0,0,0,1
0.0,3,11.0,5,2,3.8691155044168695,0,1,0,0,1
0.0,3,22.0,0,0,2.1076888046179385,0,1,1,0,0
1.0,1,38.0,0,0,4.394449154672439,1,0,0,0,1
0.0,1,45.0,1,0,4.436455632600354,0,1,0,0,1
0.0,3,4.0,3,2,3.3638415951183864,0,1,0,0,1
0.0,1,29.881137667304014,0,0,3.357621598945279,0,1,1,0,0
1.0,3,29.881137667304014,1,1,2.7878344138303452,0,1,1,0,0
1.0,2,29.0,0,0,2.4423470353692043,1,0,0,0,1
0.0,3,19.0,0,0,2.2146605719425225,0,1,0,0,1
1.0,3,17.0,4,2,2.188856327665703,1,0,0,0,1
0.0,3,26.0,2,0,2.2682524139135403,0,1,0,0,1
0.0,2,32.0,0,0,2.4423470353692043,0,1,0,0,1
0.0,3,16.0,5,2,3.8691155044168695,1,0,0,0,1
0.0,2,21.0,0,0,4.310799125385514,0,1,0,0,1
0.0,3,26.0,1,0,2.737880811060884,0,1,1,0,0
1.0,3,32.0,0,0,4.05171190165724,0,1,0,0,1
0.0,3,25.0,0,0,2.157559320943788,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.2027647577118348,0,1,0,0,1
1.0,2,0.83,0,2,3.4011973816621555,0,1,0,0,1
1.0,3,30.0,0,0,2.600836116795061,1,0,0,0,1
0.0,3,22.0,0,0,2.302585092994046,0,1,0,0,1
1.0,3,29.0,0,0,2.3513752571634776,0,1,0,0,1
1.0,3,29.881137667304014,0,0,2.1733302571367834,1,0,0,1,0
0.0,1,28.0,0,0,3.8732821771117156,0,1,0,0,1
1.0,2,17.0,0,0,2.4423470353692043,1,0,0,0,1
1.0,3,33.0,3,0,2.8243506567983707,1,0,0,0,1
0.0,3,16.0,1,3,3.5660053559634015,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.2027647577118348,0,1,0,0,1
1.0,1,23.0,3,2,5.575949103146316,1,0,0,0,1
0.0,3,24.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,29.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,20.0,0,0,2.180891922715322,0,1,0,0,1
0.0,1,46.0,1,0,4.1299529896894684,0,1,0,0,1
0.0,3,26.0,1,2,3.0715352369694915,0,1,0,0,1
0.0,3,59.0,0,0,2.1102132003465894,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.2027647577118348,0,1,0,0,1
0.0,1,71.0,0,0,3.57386695198272,0,1,1,0,0
1.0,1,23.0,0,1,4.164465907853638,0,1,1,0,0
1.0,2,34.0,0,1,3.1780538303479458,1,0,0,0,1
0.0,2,34.0,1,0,3.295836866004329,0,1,0,0,1
0.0,3,28.0,0,0,2.1855792552411137,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,0,0,1
0.0,1,21.0,0,1,4.360387947851531,0,1,0,0,1
0.0,3,33.0,0,0,2.267393053825037,0,1,0,0,1
0.0,3,37.0,2,0,2.188856327665703,0,1,0,0,1
0.0,3,28.0,0,0,2.1855792552411137,0,1,0,0,1
1.0,3,21.0,0,0,2.157559320943788,1,0,0,0,1
1.0,3,29.881137667304014,0,0,2.1719067693519296,0,1,0,0,1
0.0,3,38.0,0,0,2.1855792552411137,0,1,0,0,1
1.0,3,29.881137667304014,1,0,3.224857896545748,1,0,0,1,0
0.0,1,47.0,0,0,3.970291913552122,0,1,0,0,1
0.0,3,14.5,1,0,2.737880811060884,1,0,1,0,0
0.0,3,22.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,20.0,1,0,2.3818582738885534,1,0,0,0,1
0.0,3,17.0,0,0,2.738146075922933,1,0,1,0,0
0.0,3,21.0,0,0,2.188856327665703,0,1,0,0,1
0.0,3,70.5,0,0,2.169053700369523,0,1,0,1,0
0.0,2,29.0,1,0,3.091042453358316,0,1,0,0,1
0.0,1,24.0,0,1,5.515526544247129,0,1,1,0,0
0.0,3,2.0,4,2,3.4742929367327062,1,0,0,0,1
0.0,2,21.0,2,0,4.310799125385514,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.2027647577118348,0,1,0,0,1
0.0,2,32.5,1,0,3.436268471383741,0,1,1,0,0
1.0,2,32.5,0,0,2.6390573296152584,1,0,0,0,1
0.0,1,54.0,0,1,4.360387947851531,0,1,0,0,1
1.0,3,12.0,1,0,2.5048481563289,0,1,1,0,0
0.0,3,29.881137667304014,0,0,2.169053700369523,0,1,0,1,0
1.0,3,24.0,0,0,2.0969990034181696,0,1,0,0,1
1.0,3,29.881137667304014,1,1,3.1509523813392697,1,0,1,0,0
0.0,3,45.0,0,0,2.076311648670908,0,1,0,0,1
0.0,3,33.0,0,0,2.1855792552411137,0,1,1,0,0
0.0,3,20.0,0,0,2.0856720914304723,0,1,0,0,1
0.0,3,47.0,1,0,2.740840023925201,1,0,0,0,1
1.0,2,29.0,1,0,3.295836866004329,1,0,0,0,1
0.0,2,25.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,2,23.0,0,0,2.775447133088262,0,1,1,0,0
1.0,1,19.0,0,2,3.3062747934011893,1,0,0,0,1
0.0,1,37.0,1,0,3.9908341858524357,0,1,0,0,1
0.0,3,16.0,0,0,2.3240236363515288,0,1,0,0,1
0.0,1,24.0,0,0,4.384523514872469,0,1,1,0,0
0.0,3,29.881137667304014,0,2,2.7878344138303452,1,0,1,0,0
1.0,3,22.0,0,0,2.169053700369523,1,0,0,0,1
1.0,3,24.0,1,0,2.8243506567983707,1,0,0,0,1
0.0,3,19.0,0,0,2.0476928433652555,0,1,0,1,0
0.0,2,18.0,0,0,2.5257286443082556,0,1,0,0,1
0.0,2,19.0,1,1,3.6309854756950335,0,1,0,0,1
1.0,3,27.0,0,0,2.174274334826008,0,1,0,0,1
0.0,3,9.0,2,2,3.5660053559634015,1,0,0,0,1
0.0,2,36.5,0,2,3.295836866004329,0,1,0,0,1
0.0,2,42.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,2,51.0,0,0,2.6045398247325453,0,1,0,0,1
1.0,1,22.0,1,0,4.213607983048918,1,0,0,0,1
0.0,3,55.5,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,40.5,0,2,2.740840023925201,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.1177604059819726,0,1,0,0,1
0.0,1,51.0,0,1,4.133231886474144,0,1,1,0,0
1.0,3,16.0,0,0,2.167143305297764,1,0,0,1,0
0.0,3,30.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.2682524139135403,0,1,0,0,1
0.0,3,29.881137667304014,8,2,4.256321678298823,0,1,0,0,1
0.0,3,44.0,0,1,2.8390784635086144,0,1,0,0,1
1.0,2,40.0,0,0,2.8183982582710754,1,0,0,0,1
0.0,3,26.0,0,0,2.1719067693519296,0,1,0,0,1
0.0,3,17.0,0,0,2.2682524139135403,0,1,0,0,1
0.0,3,1.0,4,1,3.705920919968788,0,1,0,0,1
1.0,3,9.0,0,2,3.0692150503137943,0,1,0,0,1
1.0,1,29.881137667304014,0,1,4.02535169073515,1,0,0,0,1
0.0,3,45.0,1,4,3.3638415951183864,1,0,0,0,1
0.0,1,29.881137667304014,0,0,3.2930552230424524,0,1,0,0,1
0.0,3,28.0,0,0,4.05171190165724,0,1,0,0,1
0.0,1,61.0,0,0,3.5409593240373143,0,1,0,0,1
0.0,3,4.0,4,1,3.405355391810819,0,1,0,1,0
1.0,3,1.0,1,1,2.495953738718064,1,0,0,0,1
0.0,3,21.0,0,0,2.188856327665703,0,1,0,0,1
0.0,1,56.0,0,0,3.4561841799918147,0,1,1,0,0
0.0,3,18.0,1,1,2.180891922715322,0,1,0,0,1
0.0,3,29.881137667304014,3,1,3.275887339030031,0,1,0,0,1
0.0,1,50.0,0,0,3.391567832686312,1,0,1,0,0
0.0,2,30.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,3,36.0,0,0,0.0,0,1,0,0,1
0.0,3,29.881137667304014,8,2,4.256321678298823,1,0,0,0,1
0.0,2,29.881137667304014,0,0,2.775708849576025,0,1,1,0,0
0.0,3,9.0,4,2,3.4777725458882283,0,1,0,0,1
1.0,2,1.0,2,1,3.6888794541139363,0,1,0,0,1
1.0,3,4.0,0,2,3.1365805821413706,1,0,0,0,1
0.0,1,29.881137667304014,0,0,3.9318256327243257,0,1,0,0,1
1.0,3,29.881137667304014,1,0,2.803360380906535,1,0,0,1,0
1.0,1,45.0,0,0,3.3160025355989236,0,1,0,0,1
0.0,3,40.0,1,1,2.803360380906535,0,1,0,1,0
0.0,3,36.0,0,0,2.1855792552411137,0,1,0,0,1
1.0,2,32.0,0,0,2.6390573296152584,1,0,0,0,1
0.0,2,19.0,0,0,2.6390573296152584,0,1,0,0,1
1.0,3,19.0,1,0,2.180891922715322,1,0,0,0,1
1.0,2,3.0,1,1,3.295836866004329,0,1,0,0,1
1.0,1,44.0,0,0,3.357621598945279,1,0,1,0,0
1.0,1,58.0,0,0,4.993969182787072,1,0,1,0,0
0.0,3,29.881137667304014,0,0,2.169053700369523,0,1,0,1,0
0.0,3,42.0,0,1,2.2411563979973974,0,1,0,0,1
1.0,3,29.881137667304014,0,0,2.169053700369523,1,0,0,1,0
0.0,2,24.0,0,0,2.6390573296152584,1,0,0,0,1
0.0,3,28.0,0,0,2.3513752571634776,0,1,0,0,1
0.0,3,29.881137667304014,8,2,4.256321678298823,0,1,0,0,1
0.0,3,34.0,0,0,2.0143428636837015,0,1,0,0,1
0.0,3,45.5,0,0,2.1071782966514356,0,1,1,0,0
1.0,3,18.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,2.0,0,1,2.4390808375825834,1,0,0,0,1
0.0,3,32.0,1,0,2.8243506567983707,0,1,0,0,1
1.0,3,26.0,0,0,2.9850504252071306,0,1,1,0,0
1.0,3,16.0,0,0,2.169053700369523,1,0,0,1,0
1.0,1,40.0,0,0,3.4657359027997265,0,1,1,0,0
0.0,3,24.0,0,0,2.0856720914304723,0,1,0,0,1
1.0,2,35.0,0,0,3.091042453358316,1,0,0,0,1
0.0,3,22.0,0,0,2.1102132003465894,0,1,0,0,1
0.0,2,30.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,3,29.881137667304014,1,0,2.169053700369523,0,1,0,1,0
1.0,1,31.0,1,0,4.738607824217808,1,0,1,0,0
1.0,3,27.0,0,0,2.188856327665703,1,0,0,0,1
0.0,2,42.0,1,0,3.332204510175204,0,1,0,0,1
1.0,1,32.0,0,0,4.347586575960343,1,0,1,0,0
0.0,2,30.0,0,0,2.4423470353692043,0,1,0,0,1
1.0,3,16.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,2,27.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,3,51.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,0,0,1
1.0,1,38.0,1,0,4.51085950651685,0,1,0,0,1
0.0,3,22.0,0,0,2.336986519711378,0,1,0,0,1
1.0,2,19.0,0,0,2.4423470353692043,0,1,0,0,1
0.0,3,20.5,0,0,2.1102132003465894,0,1,0,0,1
0.0,2,18.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,3,29.881137667304014,3,1,3.275887339030031,1,0,0,0,1
1.0,1,35.0,1,0,4.436455632600354,1,0,0,0,1
0.0,3,29.0,0,0,2.1719067693519296,0,1,0,0,1
0.0,2,59.0,0,0,2.6741486494265287,0,1,0,0,1
1.0,3,5.0,4,2,3.4777725458882283,1,0,0,0,1
0.0,2,24.0,0,0,2.4423470353692043,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.145931282948669,1,0,0,0,1
0.0,2,44.0,1,0,3.295836866004329,0,1,0,0,1
1.0,2,8.0,0,2,3.305053521109253,1,0,0,0,1
0.0,2,19.0,0,0,2.4423470353692043,0,1,0,0,1
0.0,2,33.0,0,0,2.5858825671280026,0,1,0,0,1
0.0,3,29.881137667304014,1,0,2.737880811060884,1,0,1,0,0
1.0,3,29.881137667304014,1,0,2.803360380906535,1,0,0,1,0
0.0,2,29.0,0,0,2.4423470353692043,0,1,0,0,1
0.0,3,22.0,0,0,2.094945728215801,0,1,0,0,1
0.0,3,30.0,0,0,2.1071782966514356,0,1,1,0,0
0.0,1,44.0,2,0,4.51085950651685,0,1,0,1,0
0.0,3,25.0,0,0,2.1719067693519296,1,0,0,0,1
1.0,2,24.0,0,2,2.740840023925201,1,0,0,0,1
1.0,1,37.0,1,1,3.9806942251907276,0,1,0,0,1
0.0,2,54.0,1,0,3.295836866004329,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.1102132003465894,0,1,0,0,1
0.0,3,29.0,1,1,2.4390808375825834,1,0,0,0,1
0.0,1,62.0,0,0,3.3160025355989236,0,1,0,0,1
0.0,3,30.0,1,0,2.8390784635086144,0,1,0,0,1
0.0,3,41.0,0,2,3.0545906305603445,1,0,0,0,1
1.0,3,29.0,0,2,2.7878344138303452,1,0,1,0,0
1.0,1,29.881137667304014,0,0,4.384523514872469,1,0,1,0,0
1.0,1,30.0,0,0,4.471638793363569,1,0,0,0,1
1.0,1,35.0,0,0,6.240917354759096,1,0,1,0,0
1.0,2,50.0,0,1,3.295836866004329,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.169053700369523,0,1,0,1,0
1.0,3,3.0,4,2,3.4777725458882283,0,1,0,0,1
0.0,1,52.0,1,1,4.390118804571218,0,1,0,0,1
0.0,1,40.0,0,0,0.0,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.169053700369523,1,0,0,1,0
0.0,2,36.0,0,0,2.4423470353692043,0,1,0,0,1
0.0,3,16.0,4,1,3.705920919968788,0,1,0,0,1
1.0,3,25.0,1,0,2.1719067693519296,0,1,0,0,1
1.0,1,58.0,0,1,5.039951348430309,1,0,0,0,1
1.0,1,35.0,0,0,4.91730069488021,1,0,0,0,1
0.0,1,29.881137667304014,0,0,3.4657359027997265,0,1,0,0,1
1.0,3,25.0,0,0,0.0,0,1,0,0,1
1.0,2,41.0,0,1,3.0204248861443626,1,0,0,0,1
0.0,1,37.0,0,1,3.4242626545931514,0,1,1,0,0
1.0,3,29.881137667304014,0,0,2.169053700369523,1,0,0,1,0
1.0,1,63.0,1,0,4.368919865004903,1,0,0,0,1
0.0,3,45.0,0,0,2.169053700369523,1,0,0,0,1
0.0,2,29.881137667304014,0,0,0.0,0,1,0,0,1
0.0,3,7.0,4,1,3.405355391810819,0,1,0,1,0
1.0,3,35.0,1,1,3.056356895370426,1,0,0,0,1
0.0,3,65.0,0,0,2.169053700369523,0,1,0,1,0
0.0,3,28.0,0,0,2.180891922715322,0,1,0,0,1
0.0,3,16.0,0,0,2.3513752571634776,0,1,0,0,1
1.0,3,19.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,1,29.881137667304014,0,0,3.295836866004329,0,1,0,0,1
0.0,3,33.0,0,0,2.2682524139135403,0,1,1,0,0
1.0,3,30.0,0,0,2.3513752571634776,0,1,0,0,1
0.0,3,22.0,0,0,2.1855792552411137,0,1,0,0,1
1.0,2,42.0,0,0,2.6390573296152584,0,1,0,0,1
1.0,3,22.0,0,0,2.169053700369523,1,0,0,1,0
1.0,1,26.0,0,0,4.380149874661021,1,0,0,0,1
1.0,1,19.0,1,0,4.5226490762785785,1,0,1,0,0
0.0,2,36.0,0,0,2.630088659632498,0,1,1,0,0
0.0,3,24.0,0,0,2.2874714551839976,1,0,0,0,1
0.0,3,24.0,0,0,2.1855792552411137,0,1,0,0,1
0.0,1,29.881137667304014,0,0,3.357621598945279,0,1,1,0,0
0.0,3,23.5,0,0,2.1076888046179385,0,1,1,0,0
0.0,1,2.0,1,2,5.027492411162679,1,0,0,0,1
1.0,1,29.881137667304014,0,0,3.449987545831587,0,1,0,0,1
1.0,1,50.0,0,1,5.515526544247129,1,0,1,0,0
1.0,3,29.881137667304014,0,0,2.169053700369523,1,0,0,1,0
1.0,3,29.881137667304014,2,0,3.188416617383492,0,1,0,1,0
0.0,3,19.0,0,0,0.0,0,1,0,0,1
1.0,2,29.881137667304014,0,0,2.5915163848462583,1,0,0,1,0
0.0,3,29.881137667304014,0,0,2.2027647577118348,0,1,0,0,1
1.0,1,0.92,1,2,5.027492411162679,0,1,0,0,1
1.0,1,29.881137667304014,0,0,4.717456363787216,1,0,1,0,0
1.0,1,17.0,1,0,4.699570861409576,1,0,1,0,0
0.0,2,30.0,1,0,3.2188758248682006,0,1,1,0,0
1.0,1,30.0,0,0,4.0592215752427645,1,0,1,0,0
1.0,1,24.0,0,0,4.432699549165613,1,0,1,0,0
1.0,1,18.0,2,2,5.5735788721243535,1,0,1,0,0
0.0,2,26.0,1,1,3.295836866004329,1,0,0,0,1
0.0,3,28.0,0,0,2.1855792552411137,0,1,0,0,1
0.0,2,43.0,1,1,3.305053521109253,0,1,0,0,1
1.0,3,26.0,0,0,2.180891922715322,1,0,0,0,1
1.0,2,24.0,1,0,3.295836866004329,1,0,0,0,1
0.0,2,54.0,0,0,2.70805020110221,0,1,0,0,1
1.0,1,31.0,0,2,5.11118445372147,1,0,0,0,1
1.0,1,40.0,1,1,4.908971640319756,1,0,1,0,0
0.0,3,22.0,0,0,2.1102132003465894,0,1,0,0,1
0.0,3,27.0,0,0,2.1855792552411137,0,1,0,0,1
1.0,2,30.0,0,0,2.5915163848462583,1,0,0,1,0
1.0,2,22.0,1,1,3.4011973816621555,1,0,0,0,1
0.0,3,29.881137667304014,8,2,4.256321678298823,0,1,0,0,1
1.0,1,36.0,0,0,4.91730069488021,1,0,1,0,0
0.0,3,61.0,0,0,1.9792758428991135,0,1,0,0,1
1.0,2,36.0,0,0,2.6390573296152584,1,0,0,0,1
1.0,3,31.0,1,1,3.0692150503137943,1,0,0,0,1
1.0,1,16.0,0,1,4.077184839375167,1,0,1,0,0
1.0,3,29.881137667304014,2,0,3.188416617383492,1,0,0,1,0
0.0,1,45.5,0,0,3.3843902633457743,0,1,0,0,1
0.0,1,38.0,0,1,5.039951348430309,0,1,0,0,1
0.0,3,16.0,2,0,2.9444389791664403,0,1,0,0,1
1.0,1,29.881137667304014,1,0,4.902678819257608,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,0,0,1
0.0,1,29.0,1,0,4.213607983048918,0,1,0,0,1
1.0,1,41.0,0,0,4.908971640319756,1,0,1,0,0
1.0,3,45.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,1,45.0,0,0,3.597312260588446,0,1,0,0,1
1.0,2,2.0,1,1,3.295836866004329,0,1,0,0,1
1.0,1,24.0,3,2,5.575949103146316,1,0,0,0,1
0.0,2,28.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,2,25.0,0,0,2.6390573296152584,0,1,0,0,1
0.0,2,36.0,0,0,2.6390573296152584,0,1,0,0,1
1.0,2,24.0,0,0,2.6390573296152584,1,0,0,0,1
1.0,2,40.0,0,0,2.6390573296152584,1,0,0,0,1
1.0,3,29.881137667304014,1,0,2.8390784635086144,1,0,0,0,1
1.0,3,3.0,1,1,2.8273136219290276,0,1,0,0,1
0.0,3,42.0,0,0,2.2682524139135403,0,1,0,0,1
0.0,3,23.0,0,0,2.3248357019288655,0,1,0,0,1
0.0,1,29.881137667304014,0,0,3.58351893845611,0,1,0,0,1
0.0,3,15.0,1,1,2.1076888046179385,0,1,1,0,0
0.0,3,25.0,1,0,2.9338568698359038,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.1071782966514356,0,1,1,0,0
0.0,3,28.0,0,0,2.3513752571634776,0,1,0,0,1
1.0,1,22.0,0,1,4.02535169073515,1,0,0,0,1
0.0,2,38.0,0,0,2.6390573296152584,1,0,0,0,1
1.0,3,29.881137667304014,0,0,2.1837114628556327,1,0,0,1,0
1.0,3,29.881137667304014,0,0,2.1837114628556327,1,0,0,1,0
0.0,3,40.0,1,4,3.3638415951183864,0,1,0,0,1
0.0,2,29.0,1,0,3.357621598945279,0,1,1,0,0
0.0,3,45.0,0,1,2.737880811060884,1,0,1,0,0
0.0,3,35.0,0,0,2.0856720914304723,0,1,0,0,1
0.0,3,29.881137667304014,1,0,2.803360380906535,0,1,0,1,0
0.0,3,30.0,0,0,2.1102132003465894,0,1,0,0,1
1.0,1,60.0,1,0,4.334017415487521,1,0,1,0,0
1.0,3,29.881137667304014,0,0,2.1076888046179385,1,0,1,0,0
1.0,3,29.881137667304014,0,0,2.169053700369523,1,0,0,1,0
1.0,1,24.0,0,0,4.252771798816619,1,0,1,0,0
1.0,1,25.0,1,0,4.0332082470129285,0,1,1,0,0
0.0,3,18.0,1,0,2.0143428636837015,0,1,0,0,1
0.0,3,19.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,1,22.0,0,0,4.91730069488021,0,1,1,0,0
0.0,3,3.0,3,1,3.0944457464900235,1,0,0,0,1
1.0,1,29.881137667304014,1,0,4.420896324687287,1,0,1,0,0
1.0,3,22.0,0,0,2.1102132003465894,1,0,0,0,1
0.0,1,27.0,0,2,5.358941988364472,0,1,1,0,0
0.0,3,20.0,0,0,1.6119347926326877,0,1,1,0,0
0.0,3,19.0,0,0,2.1719067693519296,0,1,0,0,1
1.0,1,42.0,0,0,5.4316456135398825,1,0,1,0,0
1.0,3,1.0,0,2,2.817902613071225,1,0,1,0,0
0.0,3,32.0,0,0,2.188856327665703,0,1,0,0,1
1.0,1,35.0,1,0,3.970291913552122,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,0,0,1
0.0,2,18.0,0,0,4.310799125385514,0,1,0,0,1
0.0,3,1.0,5,2,3.8691155044168695,0,1,0,0,1
1.0,2,36.0,0,0,2.6390573296152584,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.1666737276227077,0,1,0,1,0
1.0,2,17.0,0,0,2.5649493574615367,1,0,1,0,0
1.0,1,36.0,1,2,4.795790545596741,0,1,0,0,1
1.0,3,21.0,0,0,2.174274334826008,0,1,0,0,1
0.0,3,28.0,2,0,2.188856327665703,0,1,0,0,1
1.0,1,23.0,1,0,4.738607824217808,1,0,1,0,0
1.0,3,24.0,0,2,2.8735646395797834,1,0,0,0,1
0.0,3,22.0,0,0,2.174274334826008,0,1,0,0,1
0.0,3,31.0,0,0,2.180891922715322,1,0,0,0,1
0.0,2,46.0,0,0,3.295836866004329,0,1,0,0,1
0.0,2,23.0,0,0,2.4423470353692043,0,1,0,0,1
1.0,2,28.0,0,0,2.613739521630969,1,0,0,0,1
1.0,3,39.0,0,0,2.188856327665703,0,1,0,0,1
0.0,3,26.0,0,0,2.2027647577118348,0,1,0,0,1
0.0,3,21.0,1,0,2.3818582738885534,1,0,0,0,1
0.0,3,28.0,1,0,2.8243506567983707,0,1,0,0,1
0.0,3,20.0,0,0,2.2682524139135403,1,0,0,0,1
0.0,2,34.0,1,0,3.091042453358316,0,1,0,0,1
0.0,3,51.0,0,0,2.169053700369523,0,1,0,0,1
1.0,2,3.0,1,1,2.9831534913471307,0,1,0,0,1
0.0,3,21.0,0,0,2.1719067693519296,0,1,0,0,1
0.0,3,29.881137667304014,3,1,3.275887339030031,1,0,0,0,1
0.0,3,29.881137667304014,0,0,2.1855792552411137,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.061570298060867,0,1,0,1,0
1.0,1,33.0,1,0,4.51085950651685,1,0,0,1,0
0.0,2,29.881137667304014,0,0,0.0,0,1,0,0,1
1.0,3,44.0,0,0,2.188856327665703,0,1,0,0,1
0.0,3,29.881137667304014,0,0,2.2027647577118348,1,0,0,0,1
1.0,2,34.0,1,1,3.5115454388310208,1,0,0,0,1
1.0,2,18.0,0,2,2.6390573296152584,1,0,0,0,1
